secs,pods
0,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
2,65
2,66
2,67
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
2,77
2,78
3,79
3,80
3,81
3,82
3,83
3,84
3,85
3,86
3,87
3,88
3,89
3,90
3,91
3,92
3,93
3,94
3,95
3,96
3,97
3,98
3,99
3,100
3,101
3,102
3,103
3,104
3,105
3,106
3,107
4,108
4,109
4,110
4,111
4,112
4,113
4,114
4,115
4,116
4,117
4,118
4,119
4,120
4,121
4,122
4,123
4,124
4,125
4,126
4,127
4,128
4,129
5,130
5,131
5,132
5,133
5,134
5,135
5,136
5,137
5,138
5,139
5,140
5,141
5,142
5,143
5,144
5,145
5,146
5,147
5,148
5,149
6,150
6,151
6,152
6,153
6,154
6,155
6,156
6,157
6,158
6,159
6,160
6,161
6,162
6,163
6,164
6,165
6,166
6,167
6,168
6,169
7,170
7,171
7,172
7,173
7,174
7,175
7,176
7,177
7,178
7,179
7,180
7,181
7,182
7,183
7,184
7,185
7,186
7,187
7,188
8,189
8,190
8,191
8,192
8,193
8,194
8,195
8,196
8,197
8,198
8,199
8,200
8,201
8,202
8,203
8,204
8,205
8,206
8,207
8,208
8,209
9,210
9,211
9,212
9,213
9,214
9,215
9,216
9,217
9,218
9,219
9,220
9,221
9,222
9,223
9,224
9,225
9,226
9,227
9,228
9,229
10,230
10,231
10,232
10,233
10,234
10,235
10,236
10,237
10,238
10,239
10,240
10,241
10,242
10,243
10,244
10,245
10,246
10,247
10,248
10,249
11,250
11,251
11,252
11,253
11,254
11,255
11,256
11,257
11,258
11,259
11,260
11,261
11,262
11,263
11,264
11,265
11,266
11,267
11,268
11,269
12,270
12,271
12,272
12,273
12,274
12,275
12,276
12,277
12,278
12,279
12,280
12,281
12,282
12,283
12,284
12,285
12,286
12,287
13,288
13,289
13,290
13,291
13,292
13,293
13,294
13,295
13,296
13,297
13,298
13,299
13,300
13,301
13,302
13,303
13,304
13,305
13,306
13,307
13,308
13,309
14,310
14,311
14,312
14,313
14,314
14,315
14,316
14,317
14,318
14,319
14,320
14,321
14,322
14,323
14,324
14,325
14,326
14,327
15,328
15,329
15,330
15,331
15,332
15,333
15,334
15,335
15,336
15,337
15,338
15,339
15,340
15,341
15,342
15,343
15,344
15,345
15,346
15,347
15,348
16,349
16,350
16,351
16,352
16,353
16,354
16,355
16,356
16,357
16,358
16,359
16,360
16,361
16,362
16,363
16,364
16,365
16,366
16,367
16,368
16,369
17,370
17,371
17,372
17,373
17,374
17,375
17,376
17,377
17,378
17,379
17,380
17,381
17,382
17,383
17,384
17,385
17,386
17,387
17,388
17,389
18,390
18,391
18,392
18,393
18,394
18,395
18,396
18,397
18,398
18,399
18,400
18,401
18,402
18,403
18,404
18,405
18,406
18,407
18,408
18,409
19,410
19,411
19,412
19,413
19,414
19,415
19,416
19,417
19,418
19,419
19,420
19,421
19,422
19,423
19,424
19,425
19,426
19,427
19,428
20,429
20,430
20,431
20,432
20,433
20,434
20,435
20,436
20,437
20,438
20,439
20,440
20,441
20,442
20,443
20,444
20,445
20,446
20,447
20,448
20,449
21,450
21,451
21,452
21,453
21,454
21,455
21,456
21,457
21,458
21,459
21,460
21,461
21,462
21,463
21,464
21,465
21,466
21,467
21,468
21,469
22,470
22,471
22,472
22,473
22,474
22,475
22,476
22,477
22,478
22,479
22,480
22,481
22,482
22,483
22,484
22,485
22,486
22,487
22,488
22,489
23,490
23,491
23,492
23,493
23,494
23,495
23,496
23,497
23,498
23,499
23,500
23,501
23,502
23,503
23,504
23,505
23,506
23,507
23,508
23,509
24,510
24,511
24,512
24,513
24,514
24,515
24,516
24,517
24,518
24,519
24,520
24,521
24,522
24,523
24,524
24,525
24,526
24,527
24,528
24,529
25,530
25,531
25,532
25,533
25,534
25,535
25,536
25,537
25,538
25,539
25,540
25,541
25,542
25,543
25,544
25,545
25,546
25,547
25,548
26,549
26,550
26,551
26,552
26,553
26,554
26,555
26,556
26,557
26,558
26,559
26,560
26,561
26,562
26,563
26,564
26,565
26,566
26,567
26,568
26,569
27,570
27,571
27,572
27,573
27,574
27,575
27,576
27,577
27,578
27,579
27,580
27,581
27,582
27,583
27,584
27,585
27,586
27,587
27,588
27,589
28,590
28,591
28,592
28,593
28,594
28,595
28,596
28,597
28,598
28,599
28,600
28,601
28,602
28,603
28,604
28,605
28,606
28,607
28,608
28,609
29,610
29,611
29,612
29,613
29,614
29,615
29,616
29,617
29,618
29,619
29,620
29,621
29,622
29,623
29,624
29,625
29,626
29,627
29,628
29,629
30,630
30,631
30,632
30,633
30,634
30,635
30,636
30,637
30,638
30,639
30,640
30,641
30,642
30,643
30,644
30,645
30,646
30,647
30,648
30,649
31,650
31,651
31,652
31,653
31,654
31,655
31,656
31,657
31,658
31,659
31,660
31,661
31,662
31,663
31,664
31,665
31,666
31,667
31,668
31,669
32,670
32,671
32,672
32,673
32,674
32,675
32,676
32,677
32,678
32,679
32,680
32,681
32,682
32,683
32,684
32,685
32,686
32,687
32,688
32,689
33,690
33,691
33,692
33,693
33,694
33,695
33,696
33,697
33,698
33,699
33,700
33,701
33,702
33,703
33,704
33,705
33,706
33,707
33,708
33,709
34,710
34,711
34,712
34,713
34,714
34,715
34,716
34,717
34,718
34,719
34,720
34,721
34,722
34,723
34,724
34,725
34,726
34,727
34,728
34,729
35,730
35,731
35,732
35,733
35,734
35,735
35,736
35,737
35,738
35,739
35,740
35,741
35,742
35,743
35,744
35,745
35,746
35,747
35,748
35,749
36,750
36,751
36,752
36,753
36,754
36,755
36,756
36,757
36,758
36,759
36,760
36,761
36,762
36,763
36,764
36,765
36,766
36,767
36,768
36,769
37,770
37,771
37,772
37,773
37,774
37,775
37,776
37,777
37,778
37,779
37,780
37,781
37,782
37,783
37,784
37,785
37,786
37,787
37,788
37,789
38,790
38,791
38,792
38,793
38,794
38,795
38,796
38,797
38,798
38,799
38,800
38,801
38,802
38,803
38,804
38,805
38,806
38,807
38,808
39,809
39,810
39,811
39,812
39,813
39,814
39,815
39,816
39,817
39,818
39,819
39,820
39,821
39,822
39,823
39,824
39,825
39,826
39,827
39,828
39,829
40,830
40,831
40,832
40,833
40,834
40,835
40,836
40,837
40,838
40,839
40,840
40,841
40,842
40,843
40,844
40,845
40,846
40,847
40,848
41,849
41,850
41,851
41,852
41,853
41,854
41,855
41,856
41,857
41,858
41,859
41,860
41,861
41,862
41,863
41,864
41,865
41,866
41,867
41,868
41,869
42,870
42,871
42,872
42,873
42,874
42,875
42,876
42,877
42,878
42,879
42,880
42,881
42,882
42,883
42,884
42,885
42,886
42,887
42,888
42,889
43,890
43,891
43,892
43,893
43,894
43,895
43,896
43,897
43,898
43,899
43,900
43,901
43,902
43,903
43,904
43,905
43,906
43,907
43,908
43,909
44,910
44,911
44,912
44,913
44,914
44,915
44,916
44,917
44,918
44,919
44,920
44,921
44,922
44,923
44,924
44,925
44,926
44,927
44,928
44,929
45,930
45,931
45,932
45,933
45,934
45,935
45,936
45,937
45,938
45,939
45,940
45,941
45,942
45,943
45,944
45,945
45,946
45,947
45,948
45,949
46,950
46,951
46,952
46,953
46,954
46,955
46,956
46,957
46,958
46,959
46,960
46,961
46,962
46,963
46,964
46,965
46,966
46,967
46,968
46,969
47,970
47,971
47,972
47,973
47,974
47,975
47,976
47,977
47,978
47,979
47,980
47,981
47,982
47,983
47,984
47,985
47,986
47,987
47,988
47,989
48,990
48,991
48,992
48,993
48,994
48,995
48,996
48,997
48,998
48,999
48,1000
48,1001
48,1002
48,1003
48,1004
48,1005
48,1006
48,1007
48,1008
48,1009
49,1010
49,1011
49,1012
49,1013
49,1014
49,1015
49,1016
49,1017
49,1018
49,1019
49,1020
49,1021
49,1022
49,1023
49,1024
49,1025
49,1026
49,1027
49,1028
49,1029
50,1030
50,1031
50,1032
50,1033
50,1034
50,1035
50,1036
50,1037
50,1038
50,1039
50,1040
50,1041
50,1042
50,1043
50,1044
50,1045
50,1046
50,1047
50,1048
50,1049
51,1050
51,1051
51,1052
51,1053
51,1054
51,1055
51,1056
51,1057
51,1058
51,1059
51,1060
