application_id,query,time/milliseconds
app-20250601165458-0000,CreateTempView customer_address,3463
app-20250601165458-0000,CreateTempView customer_demographics,1056
app-20250601165458-0000,CreateTempView date_dim,256
app-20250601165458-0000,CreateTempView warehouse,296
app-20250601165458-0000,CreateTempView ship_mode,271
app-20250601165458-0000,CreateTempView time_dim,244
app-20250601165458-0000,CreateTempView reason,253
app-20250601165458-0000,CreateTempView income_band,241
app-20250601165458-0000,CreateTempView item,219
app-20250601165458-0000,CreateTempView store,367
app-20250601165458-0000,CreateTempView call_center,279
app-20250601165458-0000,CreateTempView customer,280
app-20250601165458-0000,CreateTempView web_site,318
app-20250601165458-0000,CreateTempView store_returns,315
app-20250601165458-0000,CreateTempView household_demographics,215
app-20250601165458-0000,CreateTempView web_page,246
app-20250601165458-0000,CreateTempView promotion,234
app-20250601165458-0000,CreateTempView catalog_page,199
app-20250601165458-0000,CreateTempView inventory,256
app-20250601165458-0000,CreateTempView catalog_returns,256
app-20250601165458-0000,CreateTempView web_returns,234
app-20250601165458-0000,CreateTempView web_sales,226
app-20250601165458-0000,CreateTempView catalog_sales,194
app-20250601165458-0000,CreateTempView store_sales,230
app-20250601165458-0000,query96,7208
app-20250601165458-0000,query7,49656
app-20250601165458-0000,query75,134273
app-20250601165458-0000,query44,1855
app-20250601165458-0000,query39_part1,26482
app-20250601165458-0000,query39_part2,55239
app-20250601165458-0000,query80,149790
app-20250601165458-0000,query32,21418
app-20250601165458-0000,query19,38874
app-20250601165458-0000,query25,56943
app-20250601165458-0000,query78,76258
app-20250601165458-0000,query86,7608
app-20250601165458-0000,query1,12983
app-20250601165458-0000,query91,3570
app-20250601165458-0000,query21,24321
app-20250601165458-0000,query43,13775
app-20250601165458-0000,query27,45949
app-20250601165458-0000,query94,14415
app-20250601165458-0000,query45,6980
app-20250601165458-0000,query58,35864
app-20250601165458-0000,query64,82319
app-20250601165458-0000,query36,40730
app-20250601165458-0000,query33,54986
app-20250601165458-0000,query46,41928
app-20250601165458-0000,query62,6044
app-20250601165458-0000,query16,27141
app-20250601165458-0000,query10,10517
app-20250601165458-0000,query63,26451
app-20250601165458-0000,query69,9043
app-20250601165458-0000,query60,49077
app-20250601165458-0000,query59,14669
app-20250601165458-0000,query37,32286
app-20250601165458-0000,query98,27208
app-20250601165458-0000,query85,16971
app-20250601165458-0000,query70,31635
app-20250601165458-0000,query67,46577
app-20250601165458-0000,query28,174736
app-20250601165458-0000,query81,3921
app-20250601165458-0000,query97,23291
app-20250601165458-0000,query66,23665
app-20250601165458-0000,query90,13300
app-20250601165458-0000,query17,40066
app-20250601165458-0000,query47,24571
app-20250601165458-0000,query95,20904
app-20250601165458-0000,query92,12169
app-20250601165458-0000,query3,21535
app-20250601165458-0000,query51,25562
app-20250601165458-0000,query35,10464
app-20250601165458-0000,query49,74825
app-20250601165458-0000,query9,79661
app-20250601165458-0000,query31,44854
app-20250601165458-0000,query11,46122
app-20250601165458-0000,query93,31395
app-20250601165458-0000,query29,39771
app-20250601165458-0000,query38,8678
app-20250601165458-0000,query22,21940
app-20250601165458-0000,query89,21333
app-20250601165458-0000,query15,6768
app-20250601165458-0000,query6,19017
app-20250601165458-0000,query52,22869
app-20250601165458-0000,query50,24754
app-20250601165458-0000,query42,24590
app-20250601165458-0000,query41,1959
app-20250601165458-0000,query8,13647
app-20250601165458-0000,query12,7981
app-20250601165458-0000,query20,12830
app-20250601165458-0000,query88,36769
app-20250601165458-0000,query82,29009
app-20250601165458-0000,query23_part1,59385
app-20250601165458-0000,query23_part2,61348
app-20250601165458-0000,query14_part1,48147
app-20250601165458-0000,query14_part2,41655
app-20250601165458-0000,query57,13780
app-20250601165458-0000,query65,67858
app-20250601165458-0000,query71,68218
app-20250601165458-0000,query34,18215
app-20250601165458-0000,query48,46922
app-20250601165458-0000,query30,6984
app-20250601165458-0000,query74,63325
app-20250601165458-0000,query87,13844
app-20250601165458-0000,query77,80645
app-20250601165458-0000,query73,21144
app-20250601165458-0000,query84,9227
app-20250601165458-0000,query54,47576
app-20250601165458-0000,query55,38586
app-20250601165458-0000,query56,64305
app-20250601165458-0000,query2,16224
app-20250601165458-0000,query26,30766
app-20250601165458-0000,query40,23048
app-20250601165458-0000,query72,70621
app-20250601165458-0000,query53,42396
app-20250601165458-0000,query79,38772
app-20250601165458-0000,query18,41027
app-20250601165458-0000,query13,83388
app-20250601165458-0000,query24_part1,45787
app-20250601165458-0000,query24_part2,44277
app-20250601165458-0000,query4,162687
app-20250601165458-0000,query99,59767
app-20250601165458-0000,query68,54506
app-20250601165458-0000,query83,10220
app-20250601165458-0000,query61,72757
app-20250601165458-0000,query5,98028
app-20250601165458-0000,query76,82750
app-20250601165458-0000,Power Start Time,1748796908
app-20250601165458-0000,Power End Time,1748800922
app-20250601165458-0000,Power Test Time,4014000
app-20250601165458-0000,Total Time,4025986
