query,milliseconds
q1,6312
q2,5954
q3,4098
q4,76734
q5,19121
q6,16233
q7,13798
q8,7668
q9,12940
q10,10382
q11,42590
q12,2903
q13,10074
q14,98887
q15,9385
q16,21911
q17,44115
q18,12824
q19,10174
q20,3752
q21,4749
q22,26075
q23,184535
q24,71258
q25,53106
q26,5998
q27,8612
q28,19446
q29,52017
q30,5261
q31,16625
q32,5616
q33,8984
q34,5874
q35,11463
q36,7814
q37,7768
q38,18254
q39,23633
q40,15243
q41,1063
q42,4280
q43,5222
q44,2318
q45,7072
q46,8684
q47,12660
q48,9479
q49,16659
q50,21711
q51,23895
q52,5104
q53,5444
q54,17932
q55,5317
q56,8613
q57,7757
q58,10731
q59,12725
q60,9159
q61,10792
q62,4159
q63,6013
q64,83909
q65,19470
q66,8918
q67,73674
q68,8786
q69,10205
q70,10330
q71,7689
q72,193725
q73,4843
q74,37330
q75,41303
q76,8329
q77,8609
q78,73038
q79,8717
q80,75225
q81,8033
q82,11499
q83,3413
q84,3358
q85,9674
q86,3703
q87,14918
q88,19249
q89,5977
q90,2695
q91,5619
q92,4829
q93,39060
q94,13671
q95,32767
q96,13447
q97,18143
q98,6642
q99,8781
