query,milliseconds
q1,6702
q2,5616
q3,3676
q4,76246
q5,20464
q6,17135
q7,13984
q8,7935
q9,13151
q10,10176
q11,37860
q12,2824
q13,10557
q14,89079
q15,9593
q16,18829
q17,50470
q18,12612
q19,10183
q20,3581
q21,4479
q22,24447
q23,163027
q24,67979
q25,49673
q26,5596
q27,9062
q28,18247
q29,56174
q30,4764
q31,15273
q32,5898
q33,9536
q34,5973
q35,10061
q36,7436
q37,7231
q38,17288
q39,21380
q40,14967
q41,917
q42,4473
q43,5066
q44,1990
q45,7385
q46,8377
q47,13640
q48,8483
q49,20428
q50,24124
q51,23575
q52,4483
q53,5482
q54,17571
q55,5622
q56,8863
q57,8506
q58,9565
q59,11697
q60,9681
q61,11498
q62,3747
q63,6191
q64,83268
q65,17765
q66,9446
q67,72041
q68,8812
q69,10329
q70,9996
q71,8406
q72,173013
q73,4875
q74,39293
q75,40071
q76,7885
q77,8853
q78,71848
q79,8050
q80,71913
q81,7980
q82,12511
q83,3507
q84,3567
q85,9036
q86,3322
q87,15426
q88,19427
q89,5405
q90,2544
q91,5403
q92,4423
q93,40250
q94,13513
q95,31226
q96,13472
q97,17928
q98,6468
q99,9060
