secs,pods
0,0
6,1
6,2
6,3
7,4
7,5
7,6
7,7
7,8
7,9
8,10
12,11
13,12
13,13
13,14
13,15
14,16
14,17
15,18
15,19
15,20
19,21
20,22
20,23
20,24
20,25
21,26
22,27
22,28
22,29
22,30
26,31
26,32
27,33
28,34
28,35
28,36
29,37
29,38
29,39
30,40
34,41
34,42
35,43
35,44
36,45
36,46
36,47
36,48
37,49
37,50
39,51
40,52
41,53
41,54
42,55
42,56
42,57
42,58
43,59
43,60
45,61
46,62
46,63
47,64
48,65
48,66
49,67
49,68
50,69
50,70
53,71
53,72
53,73
54,74
55,75
55,76
56,77
57,78
57,79
57,80
60,81
60,82
60,83
62,84
62,85
63,86
63,87
65,88
65,89
65,90
69,91
69,92
70,93
71,94
71,95
72,96
73,97
73,98
73,99
73,100
75,101
76,102
77,103
77,104
78,105
79,106
79,107
79,108
80,109
80,110
84,111
85,112
86,113
86,114
88,115
88,116
88,117
89,118
90,119
91,120
94,121
95,122
97,123
97,124
98,125
99,126
99,127
100,128
100,129
102,130
102,131
103,132
103,133
104,134
105,135
106,136
106,137
106,138
107,139
109,140
110,141
111,142
111,143
111,144
114,145
114,146
114,147
115,148
115,149
117,150
117,151
118,152
119,153
120,154
122,155
123,156
123,157
124,158
124,159
126,160
126,161
126,162
126,163
128,164
131,165
131,166
132,167
132,168
133,169
133,170
133,171
134,172
135,173
135,174
138,175
138,176
138,177
139,178
139,179
140,180
141,181
142,182
143,183
143,184
146,185
148,186
148,187
149,188
150,189
150,190
150,191
151,192
151,193
152,194
156,195
157,196
158,197
159,198
160,199
160,200
161,201
161,202
161,203
163,204
165,205
165,206
165,207
167,208
169,209
169,210
169,211
169,212
170,213
171,214
173,215
174,216
174,217
176,218
176,219
178,220
178,221
179,222
179,223
182,224
183,225
185,226
185,227
186,228
187,229
187,230
188,231
188,232
190,233
192,234
192,235
194,236
195,237
195,238
196,239
196,240
198,241
199,242
200,243
200,244
200,245
202,246
202,247
202,248
203,249
204,250
205,251
206,252
206,253
206,254
207,255
209,256
210,257
210,258
210,259
211,260
213,261
213,262
214,263
214,264
214,265
218,266
218,267
218,268
218,269
219,270
221,271
221,272
222,273
222,274
223,275
227,276
227,277
228,278
228,279
231,280
232,281
232,282
233,283
233,284
233,285
236,286
236,287
237,288
238,289
238,290
239,291
240,292
240,293
240,294
241,295
242,296
244,297
244,298
245,299
245,300
246,301
247,302
248,303
248,304
248,305
250,306
251,307
252,308
252,309
253,310
254,311
254,312
256,313
256,314
256,315
259,316
261,317
261,318
263,319
263,320
265,321
265,322
266,323
266,324
266,325
268,326
268,327
269,328
269,329
270,330
271,331
272,332
273,333
273,334
273,335
274,336
275,337
275,338
276,339
277,340
278,341
279,342
280,343
281,344
281,345
282,346
283,347
284,348
284,349
284,350
287,351
287,352
289,353
291,354
292,355
293,356
295,357
295,358
295,359
295,360
299,361
299,362
299,363
300,364
300,365
300,366
303,367
303,368
303,369
304,370
307,371
308,372
308,373
308,374
308,375
308,376
310,377
310,378
311,379
311,380
314,381
315,382
316,383
316,384
316,385
317,386
319,387
320,388
320,389
320,390
325,391
326,392
327,393
327,394
327,395
329,396
330,397
330,398
331,399
331,400
332,401
333,402
334,403
334,404
335,405
335,406
336,407
337,408
337,409
338,410
338,411
340,412
340,413
340,414
341,415
341,416
343,417
345,418
345,419
345,420
345,421
347,422
349,423
349,424
349,425
350,426
352,427
353,428
354,429
354,430
355,431
356,432
358,433
358,434
358,435
359,436
360,437
361,438
361,439
362,440
363,441
363,442
365,443
365,444
365,445
366,446
366,447
368,448
368,449
370,450
370,451
370,452
372,453
372,454
372,455
374,456
374,457
376,458
376,459
376,460
376,461
377,462
379,463
379,464
380,465
382,466
383,467
383,468
384,469
384,470
384,471
385,472
388,473
389,474
389,475
390,476
391,477
392,478
393,479
393,480
393,481
394,482
398,483
399,484
399,485
400,486
400,487
402,488
402,489
403,490
403,491
404,492
405,493
405,494
406,495
407,496
408,497
409,498
410,499
410,500
411,501
411,502
414,503
414,504
415,505
416,506
417,507
417,508
417,509
418,510
419,511
419,512
421,513
422,514
423,515
423,516
424,517
424,518
425,519
426,520
426,521
426,522
431,523
431,524
431,525
431,526
432,527
433,528
433,529
434,530
435,531
435,532
438,533
439,534
439,535
440,536
440,537
440,538
442,539
442,540
443,541
443,542
445,543
446,544
447,545
449,546
449,547
450,548
451,549
451,550
451,551
452,552
456,553
458,554
458,555
459,556
460,557
460,558
460,559
461,560
461,561
462,562
464,563
465,564
466,565
466,566
466,567
467,568
467,569
467,570
467,571
469,572
471,573
472,574
473,575
473,576
473,577
474,578
475,579
475,580
476,581
477,582
479,583
481,584
482,585
483,586
484,587
484,588
485,589
485,590
487,591
489,592
489,593
492,594
492,595
492,596
494,597
495,598
496,599
496,600
498,601
498,602
499,603
501,604
502,605
503,606
504,607
504,608
504,609
504,610
504,611
506,612
507,613
508,614
509,615
510,616
511,617
511,618
511,619
512,620
515,621
516,622
517,623
519,624
519,625
521,626
522,627
522,628
523,629
524,630
524,631
525,632
526,633
526,634
528,635
529,636
529,637
531,638
532,639
532,640
532,641
533,642
533,643
534,644
536,645
537,646
537,647
537,648
538,649
539,650
539,651
540,652
540,653
541,654
544,655
544,656
545,657
545,658
546,659
546,660
546,661
547,662
548,663
548,664
551,665
552,666
552,667
553,668
553,669
553,670
554,671
554,672
555,673
556,674
559,675
560,676
561,677
561,678
561,679
561,680
562,681
562,682
562,683
562,684
564,685
567,686
567,687
568,688
568,689
568,690
568,691
569,692
569,693
569,694
570,695
574,696
575,697
575,698
576,699
576,700
576,701
576,702
576,703
576,704
578,705
582,706
583,707
583,708
584,709
584,710
584,711
585,712
585,713
587,714
587,715
593,716
593,717
595,718
595,719
595,720
595,721
596,722
596,723
596,724
597,725
600,726
601,727
602,728
603,729
603,730
603,731
603,732
603,733
603,734
604,735
609,736
609,737
611,738
612,739
612,740
612,741
612,742
612,743
612,744
613,745
619,746
619,747
619,748
620,749
620,750
621,751
621,752
621,753
622,754
623,755
628,756
628,757
629,758
629,759
629,760
630,761
630,762
630,763
632,764
632,765
634,766
635,767
635,768
635,769
636,770
636,771
636,772
638,773
638,774
639,775
641,776
642,777
642,778
643,779
644,780
644,781
644,782
647,783
647,784
649,785
654,786
654,787
655,788
655,789
655,790
656,791
656,792
658,793
659,794
659,795
663,796
663,797
664,798
664,799
664,800
664,801
664,802
665,803
667,804
667,805
670,806
670,807
672,808
672,809
672,810
672,811
672,812
673,813
673,814
674,815
677,816
677,817
678,818
679,819
680,820
680,821
680,822
681,823
682,824
682,825
684,826
684,827
685,828
686,829
687,830
687,831
687,832
688,833
690,834
691,835
692,836
692,837
692,838
693,839
694,840
694,841
694,842
694,843
696,844
697,845
698,846
699,847
699,848
700,849
700,850
700,851
700,852
701,853
702,854
703,855
704,856
706,857
706,858
707,859
707,860
708,861
708,862
709,863
710,864
712,865
713,866
714,867
716,868
716,869
717,870
717,871
718,872
719,873
719,874
721,875
723,876
723,877
725,878
725,879
726,880
726,881
726,882
728,883
728,884
729,885
730,886
731,887
732,888
732,889
732,890
733,891
733,892
735,893
736,894
738,895
738,896
740,897
741,898
741,899
742,900
742,901
743,902
745,903
746,904
748,905
748,906
750,907
751,908
751,909
751,910
752,911
752,912
754,913
755,914
757,915
757,916
759,917
760,918
760,919
761,920
761,921
761,922
763,923
764,924
764,925
764,926
765,927
766,928
768,929
768,930
768,931
768,932
769,933
770,934
772,935
773,936
773,937
774,938
776,939
777,940
777,941
778,942
778,943
779,944
782,945
783,946
783,947
784,948
785,949
785,950
788,951
789,952
790,953
792,954
794,955
794,956
795,957
795,958
796,959
796,960
797,961
798,962
798,963
798,964
800,965
800,966
801,967
802,968
802,969
803,970
805,971
805,972
805,973
806,974
809,975
809,976
809,977
811,978
812,979
813,980
815,981
815,982
815,983
815,984
820,985
820,986
820,987
821,988
822,989
822,990
824,991
825,992
826,993
826,994
828,995
829,996
829,997
829,998
829,999
829,1000
